district,GRDP,population
종로구,3,159940
중구,4,127482
용산구,2,225202
성동구,2,294822
광진구,1,366874
동대문구,1,361834
중랑구,0,402615
성북구,1,452601
강북구,0,317889
도봉구,0,339015
노원구,1,560350
은평구,0,474795
서대문구,1,318355
마포구,2,376613
양천구,1,462973
강서구,2,573224
구로구,2,442766
금천구,2,248820
영등포구,3,403389
동작구,1,408043
관악구,1,519316
서초구,3,418215
강남구,4,534889
송파구,3,627130
강동구,1,434929
