title,link,like,angry
부동산 투자 성공전략-신축 상승세 지속…분양권 급매물 눈길 꼬마빌딩·상가...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=024&aid=0000063354,2,0
공시지가 희비 엇갈린 전통상권·新상권,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004339193,0,0
서울 공시지가 14.1% 상승 '12년 만에 최대'…강남구는 23.9%↑,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004089862,7,17
자영업 위기에 무너지는 상권들-신사역 상가 20% ‘텅텅’…사당 공실 3배↑번...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=024&aid=0000063568,0,1
‘GTX-C 수혜지’ 수원역세권 명품 오피스텔 어디?,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=468&aid=0000609987,0,0
가로수길 지고 종각ㆍ망원동 뜨고… 서울 상권 ‘요동’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=469&aid=0000272330,4,1
복합상권 상가 수익률 고공행진…채권·예금보다 ‘짭짤’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002317085,1,1
수도권 유명상권 인근 신규 분양상가 관심,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009087867,0,0
‘별그대 촬영’ 청담 레스토랑 경매 4년째 표류...부동산 값은 2.6배 올라,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000412269,5,1
중국인 관광객 감소에 신사·압구정 상권 '타격',https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0009434019,0,0
홍석천도 폐업 선언한 이태원 상권…‘젠트리피케이션’이 할퀴고 간 자리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=050&aid=0000050159,2,18
'강남권 상권 흔들'…압구정·신사·강남·삼성역 매장 임대료↓,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0008554774,45,25
[단독] 담철곤 회장 장녀 부동산 불법 증여 국세청에 덜미,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=586&aid=0000007921,4,0
공시지가 상승에 주요 상권 稅부담 '껑충'…중구 20.49%↑·강남 18.74%↑,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009259231,0,1
[저널리즘 토크쇼J] 부동산 시장 혼란 부추기는 언론보도,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=056&aid=0010622960,10,13
"테헤란로 노른자위 상가 147억에…예보, 2977억 규모 부동산 공매",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001526664,0,0
"[부동산, ‘값’부터 제대로 매기자](1)9년간 세금 제자리…강남 속의 ‘외딴...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=032&aid=0002858493,13,112
"KB vs 신한, 부동산 자문 경쟁 제대로 붙었다",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0002700005,0,0
"광화문-시청-종각역 일대, 강북 상권 ‘골든 트라이앵글’",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003119467,0,0
'부동산 불패' 서울 강남3구 중개업소 가장 많아,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0003899954,1,1
