사업번호,자치구,사업구분,대표지번,상태
11680-900000694,강남구,재건축,개포동 656-3,운영
11170-900000049,용산구,도시환경정비,한강로동,운영
11530-900000006,구로구,재건축,개봉동 454-14,운영
11560-100004012,영등포구,도시환경정비,영등포동7가 76-5,운영
11560-900000008,영등포구,재건축,당산동4가 91,운영
11560-900000009,영등포구,재건축,문래동2가 35,운영
11170-100005010,용산구,재건축,이촌동 300-11,운영
11230-100003002,동대문구,재개발,청량리동 205,운영
11230-100008000,동대문구,도시환경정비,전농동 494,운영
11620-900000626,관악구,재개발,신림동 808-,운영
11290-100011001,성북구,재건축,안암동3가 136-1,일시중단
11290-100016004,성북구,재개발,장위동 233-552,운영
11290-100016006,성북구,재개발,장위동 238-83,일시중단
11170-900000102,용산구,재개발,동빙고동 60,운영
11680-900000569,강남구,재건축,논현동 191-4,일시중단
11650-900000648,서초구,재건축,잠원동 56-2,운영
11290-100016013,성북구,재개발,장위동 350,운영
11230-100009002,동대문구,재개발,청량리동 435,운영
11170-900000734,용산구,재건축,이촌동 193-3,운영
11350-100002014,노원구,재개발,상계동 -,운영
11350-100002017,노원구,재개발,상계동 109-43,운영
11560-100003014,영등포구,재건축,신길동 3590,운영
11620-100003009,관악구,재개발,봉천동 101,운영
11680-100002001,강남구,재건축,도곡동 464,운영
11305-900000028,강북구,재개발,미아동 403,운영
11350-100002015,노원구,재개발,상계동 -,운영
11710-100002002,송파구,재건축,잠실동 27,운영
11260-100003038,중랑구,재건축,망우동 178-1,운영
11650-900000649,서초구,재건축,잠원동 55-10,운영
11200-900000045,성동구,재개발,성수동2가 219-4,운영
11590-100001000,동작구,재개발,노량진동 232-19,운영
11380-100001036,은평구,재개발,불광동 238,운영
11290-900000159,성북구,재개발,성북동 226-,운영
11200-900000044,성동구,재개발,성수동2가 572-7,운영
11200-100002009,성동구,재개발,성수동1가 72-10,운영
11500-100002009,강서구,재건축,염창동 283,운영
11305-100003000,강북구,도시환경정비,미아동 42-8,일시중단
11110-100003018,종로구,도시환경정비,종로6가 117,일시중단
11680-900000133,강남구,재건축,논현동 62-3,일시중단
11170-900000172,용산구,도시환경정비,한강로동,운영
11140-100002006,중구,재개발,신당동 432-1008,운영
11290-900000097,성북구,재개발,돈암동 48-29,운영
11170-900000101,용산구,재개발,보광동 360,운영
11230-100003013,동대문구,재개발,제기동 120-104,운영
11230-100006044,동대문구,재개발,이문동 86-1,운영
11680-100003000,강남구,재건축,압구정동 528,운영
11290-100011003,성북구,재건축,정릉동 150-27,일시중단
11590-100001001,동작구,재개발,노량진동 278-2,운영
11620-100003000,관악구,재건축,봉천동 728-57,운영
11620-100003010,관악구,재개발,봉천동 480,운영
11230-900000723,동대문구,재개발,용두동 23-8,운영
11530-900000731,구로구,재건축,오류동 150-42,운영
11170-100005006,용산구,재건축,한강로동,일시중단
11560-100004020,영등포구,도시환경정비,영등포동5가 32-8,운영
11500-900000622,강서구,재건축,내발산동 716-20,일시중단
11200-100002017,성동구,재건축,응봉동 193-162,운영
11170-100005000,용산구,재건축,이촌동 300-23,운영
11170-100003005,용산구,재개발,효창동 3-250,운영
11305-900000117,강북구,재개발,미아동 439-,운영
11290-100023000,성북구,재개발,정릉동 175,운영
11560-900000624,영등포구,재건축,신길동 4759,운영
11305-900000025,강북구,재건축,미아동 1261-376,운영
11545-100002005,금천구,재건축,시흥동 983-13,운영
11350-100002007,노원구,재건축,월계동 436,운영
11650-900000130,서초구,재건축,방배동 725,운영
11680-900000131,강남구,재건축,역삼동 758-,운영
11170-100005005,용산구,재건축,이촌동 300-301,운영
11170-100005001,용산구,재건축,원효로4가 118-16,운영
11410-100007001,서대문구,재건축,홍은동 277-45,운영
11200-900000718,성동구,재건축,성수동1가 656-421,운영
11170-900000099,용산구,재개발,보광동 265,운영
11290-900000106,성북구,재개발,정릉동 757,운영
11290-100017001,성북구,도시환경정비,하월곡동 88-142,운영
11680-900000617,강남구,재건축,대치동 63,운영
11650-900000610,서초구,재건축,잠원동 61-2,운영
11530-900000611,구로구,재건축,오류동 156-15,운영
11500-900000668,강서구,재건축,공항동 18,운영
11290-100009003,성북구,재개발,동소문동2가  33,일시중단
11560-900000513,영등포구,도시환경정비,영등포동5가 22-3,운영
11200-900000046,성동구,재건축,옥수동 220-1,운영
11380-100001054,은평구,도시환경정비,수색동 366-6,일시중단
11170-900000674,용산구,도시환경정비,한강로동,운영
11650-900000628,서초구,재건축,잠원동 60-78,운영
11710-900000108,송파구,재건축,잠실동 320,운영
11680-900000671,강남구,재건축,도곡동 540,운영
11470-900000679,양천구,재건축,신정동 1200-1,운영
11290-900000055,성북구,도시환경정비,길음동 31-1,운영
11410-900000076,서대문구,도시환경정비,홍제동 323-11,운영
11590-100005002,동작구,재개발,노량진동 270-3,운영
11560-900000583,영등포구,재건축,문래동5가 22-,운영
11710-900000689,송파구,재건축,문정동 3,운영
11650-900000633,서초구,재건축,방배동 593-98,운영
11545-900000654,금천구,재건축,시흥동 109,운영
11680-900000669,강남구,재건축,일원동 615-1,운영
11530-900000677,구로구,재건축,궁동 171-1,운영
11170-900000619,용산구,도시환경정비,한강로동,운영
11560-900000623,영등포구,재건축,당산동5가 7-2,운영
11710-900000539,송파구,재개발,마천동 323-,운영
11215-900000655,광진구,재건축,자양동 199-2,운영
11650-900000560,서초구,재건축,잠원동 70-,운영
11500-900000538,강서구,재건축,방화동 615-103,운영
11590-900000601,동작구,재건축,사당동 303-,운영
11650-900000612,서초구,재건축,서초동 1611-1,운영
11590-900000557,동작구,재개발,흑석동 304,운영
11710-900000676,송파구,재건축,송파동 166,운영
11710-900000663,송파구,재건축,가락동 199,운영
11710-900000690,송파구,재건축,가락동 176,운영
11215-100001001,광진구,재건축,자양동 658-14,운영
11650-900000608,서초구,재건축,잠원동 65-32,운영
11530-900000719,구로구,재건축,오류동 68-21,운영
11545-900000716,금천구,재건축,가산동 1-1,운영
11230-900000726,동대문구,재건축,제기동 892-68,운영
