사업번호,자치구,사업구분,대표지번,상태
11260-100002008,중랑구,재건축,면목동 172-1,일시중단
11710-100002006,송파구,재건축,잠실동 101-1,운영
11260-100003039,중랑구,도시환경정비,상봉동 107-1,일시중단
11470-900000176,양천구,도시환경정비,신정동 1182-1,일시중단
11200-900000147,성동구,재건축,성수동1가 22-13,일시중단
11170-900000111,용산구,재건축,이태원동 22-2,일시중단
11290-100002002,성북구,재개발,동선동1가 74-15,일시중단
11470-900000057,양천구,재건축,신월동 487-4,일시중단
11710-900000144,송파구,재개발,마천동 283-,운영
11200-900000696,성동구,도시환경정비,용답동 234,운영
11710-900000132,송파구,재건축,송파동 151-,운영
11650-900000590,서초구,재건축,반포동 65-1,운영
11710-900000691,송파구,재건축,가락동 192,운영
11260-900000034,중랑구,재건축,중화동 131-35,일시중단
11650-900000659,서초구,재건축,잠원동 62-4,운영
11560-900000661,영등포구,재건축,여의도동 32,운영
11215-900000667,광진구,재건축,광장동 264-1,운영
11230-900000729,동대문구,재개발,용두동 26-14,운영
11110-900000003,종로구,재개발,숭인동 65-17,일시중단
11290-100009004,성북구,재개발,하월곡동 34-10,일시중단
11545-900000438,금천구,재건축,가산동 547-44,운영
11560-900000504,영등포구,도시환경정비,문래동4가 23-6,운영
11710-900000615,송파구,재건축,신천동 7-,운영
11560-100004011,영등포구,도시환경정비,영등포동5가 30,운영
11440-100004008,마포구,재개발,공덕동 119,운영
11650-100002001,서초구,재건축,방배동 891-3,운영
11410-900000078,서대문구,재개발,북가좌동 73-1,운영
11290-100001002,성북구,재개발,정릉동 895,일시중단
11680-900000670,강남구,재건축,압구정동 490,운영
11680-900000683,강남구,재건축,개포동 187,운영
11410-900000064,서대문구,도시환경정비,홍제동 306-2,운영
11680-100002017,강남구,재건축,대치동 316,운영
11590-100007000,동작구,도시환경정비,흑석동 99-3,운영
11170-900000632,용산구,재건축,이촌동 203-75,운영
11680-900000675,강남구,재건축,압구정동 369-1,운영
11545-100002002,금천구,재건축,가산동 146-78,일시중단
11545-100002003,금천구,재건축,독산동 147-20,일시중단
11650-900000613,서초구,재건축,잠원동 61-1,운영
11230-100009003,동대문구,재개발,전농동 103,운영
11710-900000178,송파구,재건축,송파동 100-,일시중단
11170-900000657,용산구,재건축,서빙고동 241-21,운영
11560-900000651,영등포구,재건축,여의도동 50,운영
11680-900000684,강남구,재건축,압구정동 481,운영
11170-900000687,용산구,재건축,이촌동 211-2,운영
11680-900000688,강남구,재건축,개포동 185,운영
11710-900000692,송파구,재건축,오금동 166,운영
11170-900000695,용산구,도시환경정비,한강로동,운영
11230-900000700,동대문구,재건축,장안동 95-1,운영
11560-900000711,영등포구,재개발,신길동 39-3,운영
11620-900000717,관악구,재건축,신림동 746-43,운영
11170-900000709,용산구,도시환경정비,한강로동,운영
11650-900000725,서초구,재건축,방배동 758-4,운영
11470-100001009,양천구,재건축,신월동 432-6,일시중단
11500-100002008,강서구,재건축,등촌동 651,일시중단
11560-100004001,영등포구,재건축,대림동 929-56,운영
11140-100002007,중구,재개발,만리동2가 10,운영
11230-100001000,동대문구,재건축,장안동 435-4,일시중단
11230-100006039,동대문구,재개발,휘경동 128-12,운영
11290-100016007,성북구,재개발,장위동 290-9,운영
11740-100000041,강동구,재건축,성내동 547-1,일시중단
11740-100001039,강동구,재건축,성내동 405-9,일시중단
11740-100001042,강동구,재건축,상일동 134,운영
11740-100001048,강동구,재건축,둔촌동 513-1,일시중단
11740-100001053,강동구,재건축,천호동 28-32,일시중단
11650-900000128,서초구,재건축,잠원동 52,운영
11410-100007013,서대문구,재개발,북아현동 149,운영
11200-100002005,성동구,재개발,하왕십리동 999,운영
11215-100002006,광진구,재건축,구의동 227-3,운영
11590-100001008,동작구,재개발,노량진동 122-37,일시중단
11650-100002008,서초구,재건축,잠원동 64-8,운영
11650-100002025,서초구,재건축,반포동 32-5,운영
11680-100002008,강남구,재건축,개포동 140,운영
11215-100002008,광진구,재건축,구의동 122-2,운영
11500-100002010,강서구,재건축,방화동 191-3,일시중단
11230-100006002,동대문구,재건축,장안동 425-1,일시중단
11305-100002000,강북구,재개발,미아동 476,일시중단
11530-900000070,구로구,재건축,개봉동 335-16,일시중단
11380-100001048,은평구,재개발,녹번동 19,운영
11260-100003037,중랑구,재건축,묵동 81-17,운영
11650-100002023,서초구,재건축,잠원동 66,운영
11560-100003003,영등포구,재건축,양평동6가 85,운영
11500-100002016,강서구,재건축,내발산동 714-4,일시중단
11470-100001007,양천구,재건축,신월동 410-12,일시중단
11650-900000146,서초구,재건축,반포동 30-18,운영
11500-100002007,강서구,재건축,염창동 242-4,일시중단
11560-100004029,영등포구,재개발,도림동 162-94,운영
11470-100001013,양천구,재개발,신월동 612,일시중단
11200-100002022,성동구,재개발,금호동3가 632,일시중단
11470-100001011,양천구,재개발,신월동 603-3,일시중단
11650-100002011,서초구,재건축,서초동 1310,운영
11500-100001000,강서구,재건축,염창동 244-18,일시중단
11380-100001047,은평구,재개발,녹번동 53,운영
11680-100002027,강남구,재건축,일원동 689-1,운영
11740-100001047,강동구,재건축,고덕동 670,운영
11260-900000134,중랑구,재건축,면목동 134-40,일시중단
11230-100005001,동대문구,재건축,장안동 435-2,운영
11230-100007002,동대문구,재개발,답십리동 178,운영
11560-100004032,영등포구,재개발,당산동4가 2-1,운영
11590-100002000,동작구,재건축,상도동 36-1,운영
11440-100006004,마포구,재개발,아현동 85,운영
11470-100001006,양천구,재건축,신월동 8-1,일시중단
11650-100002029,서초구,재건축,반포동 2-1,운영
11650-900000121,서초구,재건축,서초동 1332-1,운영
11560-100003015,영등포구,재개발,신길동 347-50,운영
11290-100014001,성북구,재건축,정릉동 192,운영
11650-900000119,서초구,재건축,서초동 1331,운영
11500-100002015,강서구,재건축,화곡동 812-26,일시중단
11200-100002006,성동구,재개발,금호동1가 280,운영
11215-100001000,광진구,재건축,자양동 224-15,운영
11320-100003001,도봉구,재개발,쌍문동 414,일시중단
11470-900000110,양천구,재건축,목동 803-2,일시중단
11200-100002021,성동구,재개발,금호동4가 56-1,운영
11680-100002024,강남구,재건축,역삼동 711-1,운영
11230-100003009,동대문구,재개발,회기동 62-34,일시중단
11320-900000484,도봉구,재건축,방학동 636-,일시중단
11650-900000114,서초구,재건축,방배동 992-1,운영
11680-900000127,강남구,재건축,삼성동 22-,운영
11560-900000480,영등포구,재건축,문래동3가 81-1,운영
11230-100007003,동대문구,재개발,답십리동 98,운영
11545-100002001,금천구,재건축,시흥동 791-40,일시중단
11440-100001006,마포구,재건축,창전동 27-19,운영
11380-100000036,은평구,재건축,신사동 19-190,운영
11215-100004000,광진구,재건축,화양동 35-4,운영
11560-100004014,영등포구,도시환경정비,영등포동7가 145-8,운영
11170-100003003,용산구,도시환경정비,동자동 36-17,운영
11380-100001049,은평구,재개발,녹번동 4,운영
11200-100001004,성동구,재개발,금호동2가 566,일시중단
11650-100002003,서초구,재건축,잠원동 57,운영
11380-100001033,은평구,재개발,불광동 17,운영
11380-100001039,은평구,재개발,불광동 292,운영
11200-100001000,성동구,재개발,옥수동 500,일시중단
11170-100005007,용산구,재건축,한남동 729,일시중단
11560-100003010,영등포구,재개발,신길동 329-94,운영
11560-900000036,영등포구,재개발,신길동 2039,운영
11350-100002009,노원구,재건축,월계동 531,일시중단
11470-100001005,양천구,재건축,목동 632-1,운영
11545-900000712,금천구,재건축,가산동 1,운영
11350-100002008,노원구,재건축,공릉동 240-169,일시중단
11230-100003003,동대문구,재개발,용두동 80-1,일시중단
11350-900000019,노원구,재개발,월계동 672,운영
11440-100005000,마포구,재개발,아현동 635,운영
11110-100002009,종로구,재건축,무악동 71-1,운영
11230-100007004,동대문구,재개발,전농동 449-9,운영
11290-100001000,성북구,재개발,돈암동 535-54,운영
11290-100002003,성북구,재개발,돈암동 13-7,일시중단
11290-100005003,성북구,재개발,석관동 338-540,일시중단
11290-100014000,성북구,재개발,정릉동 10,일시중단
11290-100008003,성북구,재개발,보문동3가 225,일시중단
11410-100008008,서대문구,재건축,연희동 711,운영
11230-100003016,동대문구,재개발,전농동 518,운영
11410-100007006,서대문구,재개발,북아현동 174,운영
11410-100008009,서대문구,재건축,남가좌동 369-10,운영
11680-100002019,강남구,재건축,대치동 612,운영
11200-100001005,성동구,재개발,금호동2가 900,일시중단
11200-100002016,성동구,재개발,상왕십리동 12-37,일시중단
11200-100002012,성동구,재개발,금호동2가 200,일시중단
11200-100002014,성동구,재개발,하왕십리동 339-67,일시중단
11215-100002014,광진구,도시환경정비,자양동 778-6,운영
11680-100002020,강남구,재건축,대치동 633,운영
11380-100001044,은평구,재개발,응암동 663,일시중단
11230-100012000,동대문구,재건축,장안동 329-2,운영
11470-100001017,양천구,재개발,신정동 1033-1,운영
11410-100007000,서대문구,재개발,북가좌동 144,운영
11545-100002000,금천구,재건축,독산동 966-1,일시중단
11710-100002000,송파구,재건축,풍납동 153,일시중단
11380-100001038,은평구,재개발,응암동 171,일시중단
11710-100002009,송파구,재건축,송파동 167,일시중단
11200-100001003,성동구,재개발,옥수동 526,일시중단
11200-100002013,성동구,재개발,금호동4가 235-,일시중단
11410-100008006,서대문구,재건축,홍제동 451-13,운영
11590-100001010,동작구,재건축,사당동 167-19,운영
11290-100010002,성북구,재개발,종암동 95-2,일시중단
11380-100000033,은평구,재건축,응암동 620-1,운영
11290-100001001,성북구,재개발,정릉동 539-1,일시중단
11680-100002018,강남구,재건축,역삼동 709,운영
11740-100000039,강동구,재건축,길동 298-1,일시중단
11410-100003006,서대문구,재개발,홍은동 441-1,운영
11410-100005005,서대문구,재개발,남가좌동 124-1,운영
11290-100014004,성북구,재개발,길음동 612-10,일시중단
11140-100002003,중구,재개발,신당동 85,운영
11140-100002004,중구,재개발,만리동2가 176-1,운영
11230-100003005,동대문구,재개발,답십리동 25,운영
11740-100001040,강동구,재건축,고덕동 212,운영
11710-100002010,송파구,재건축,가락동 479,운영
11305-100005004,강북구,재건축,미아동 3-770,운영
11380-100001034,은평구,재개발,불광동 550,운영
11620-100002000,관악구,재건축,남현동 1079-13,일시중단
11620-100003013,관악구,재건축,봉천동 1598-10,일시중단
11680-100002007,강남구,재건축,개포동 138,운영
11440-100006006,마포구,재개발,아현동 380,운영
11170-100004002,용산구,도시환경정비,한강로동,운영
11110-100002007,종로구,재개발,무악동 46,운영
11170-100004001,용산구,도시환경정비,한강로동,운영
11620-100003007,관악구,재개발,봉천동 1553-1,운영
11290-100015000,성북구,재개발,길음동 498,운영
11710-100002004,송파구,재건축,풍납동 388-7,운영
11380-900000048,은평구,재건축,응암동 626-108,운영
11440-100001007,마포구,재건축,신수동 93-102,운영
11440-100002000,마포구,재건축,하중동 18-2,일시중단
11440-100001003,마포구,재건축,망원동 458-16,운영
11740-100001052,강동구,재건축,명일동 309-1,운영
11290-100005000,성북구,재개발,석관동 58-56,운영
11110-100003002,종로구,도시환경정비,교남동 62-1,운영
11410-100006004,서대문구,재개발,남가좌동 224,운영
11440-900000603,마포구,재건축,망원동 438-46,운영
11440-100004002,마포구,재개발,대흥동 12,운영
11500-100002011,강서구,재건축,공항동 4-8,운영
11560-100003008,영등포구,재개발,신길동 1583-1,운영
11710-100002007,송파구,재개발,거여동 234,운영
11230-100006024,동대문구,재건축,답십리동 465,운영
11260-100002003,중랑구,재건축,면목동 1405,운영
11740-100001043,강동구,재건축,상일동 131,운영
11740-100001045,강동구,재건축,상일동 124,운영
11740-100001041,강동구,재건축,상일동 121,운영
11740-100001046,강동구,재건축,상일동 187,운영
11290-100007001,성북구,재개발,보문동1가 60-28,운영
11350-100002002,노원구,재건축,월계동 633-31,운영
11260-100003000,중랑구,재건축,면목동 520-19,운영
11710-100002008,송파구,재개발,거여동 181,운영
11230-100004002,동대문구,재건축,장안동 291-1,운영
11470-100001015,양천구,재개발,신정동 1175-28,운영
11680-100002005,강남구,재건축,삼성동 19-4,운영
11650-100002000,서초구,재건축,반포동 32-8,운영
11590-100002011,동작구,재건축,사당동 181-360,운영
11650-100002009,서초구,재건축,잠원동 74-2,운영
11680-100002012,강남구,재건축,개포동 656,운영
11410-100006000,서대문구,재개발,남가좌동 175,운영
11410-100010002,서대문구,재건축,홍은동 338-5,운영
11380-100001057,은평구,재개발,수색동 330-1,운영
11170-100004005,용산구,도시환경정비,한강로동,운영
11230-100006040,동대문구,재개발,휘경동 243,운영
11740-100001050,강동구,재건축,길동 43,운영
11170-100004000,용산구,재개발,효창동 117-1,운영
11290-100016011,성북구,재개발,장위동 173-114,운영
11590-100002009,동작구,재개발,흑석동 232,운영
11560-100004013,영등포구,도시환경정비,영등포동7가 29-1,운영
11560-100003011,영등포구,재개발,신길동 337-246,운영
11470-100001014,양천구,재개발,신월동 551-10,운영
11170-100004003,용산구,재개발,효창동 13-2,운영
11560-100003019,영등포구,재개발,신길동 3163,운영
11650-900000073,서초구,재건축,서초동 1335,운영
11290-100016001,성북구,재개발,장위동 189-3,운영
11260-100002010,중랑구,재건축,면목동 164-,운영
11290-100016000,성북구,재개발,장위동 144-24,운영
11560-100003012,영등포구,재개발,신길동 240-16,운영
11260-100002009,중랑구,재건축,면목동 171-7,운영
11410-100008005,서대문구,재건축,홍은동 13-25,운영
11650-900000115,서초구,재건축,방배동 1028-1,운영
11380-100001060,은평구,재개발,수색동 30-2,운영
11650-900000118,서초구,재건축,서초동 1336,운영
11410-100007009,서대문구,재건축,홍제동 57-5,운영
11440-100005003,마포구,도시환경정비,공덕동 385,운영
11440-100005004,마포구,재개발,염리동 507,운영
11410-100006002,서대문구,재개발,홍제동 270,운영
11350-100002013,노원구,재개발,상계동 85-33,운영
11380-100000037,은평구,재개발,응암동 419,운영
11410-100005003,서대문구,재개발,홍제동 156,운영
11410-100007010,서대문구,재건축,홍은동 104-4,운영
11350-100002006,노원구,재건축,상계동 677,운영
11380-100001053,은평구,재개발,응암동 455,운영
11440-100005001,마포구,재개발,염리동 45,운영
11500-100002014,강서구,재건축,염창동 277-24,운영
11380-100001032,은평구,재개발,응암동 36,운영
11380-100001069,은평구,재개발,증산동 213-20,운영
11410-100003002,서대문구,재개발,홍은동 19-19,운영
11560-100004000,영등포구,재건축,대림동 917-49,운영
11380-900000017,은평구,재건축,응암동 225-1,운영
11680-100002028,강남구,재건축,일원동 690-1,운영
11620-100003008,관악구,재개발,봉천동 1544-1,운영
11650-900000607,서초구,재건축,반포동 30-15,운영
11650-900000616,서초구,재건축,잠원동 65-33,운영
11680-100002023,강남구,재건축,역삼동 712-,운영
11320-900000625,도봉구,재건축,쌍문동 503-29,운영
11590-900000112,동작구,재건축,사당동 41-17,운영
11560-900000007,영등포구,재건축,당산동5가 4-13,운영
11290-100014006,성북구,재개발,길음동 508-16,운영
11410-100007003,서대문구,재개발,북아현동 1-954,운영
11560-100003016,영등포구,재개발,신길동 145-40,운영
11230-100003004,동대문구,재개발,용두동 253,운영
11440-900000109,마포구,재건축,아현동 662,운영
11215-900000639,광진구,재건축,화양동 499-18,운영
11350-100002001,노원구,재건축,공릉동 230,운영
11380-900000621,은평구,재건축,구산동 307-1,운영
11650-900000486,서초구,재건축,잠원동 74-1,운영
11590-900000481,동작구,재건축,동작동 102-,운영
11680-900000568,강남구,재건축,대치동 977-,운영
11440-900000644,마포구,재건축,망원동 472-1,운영
11215-100002003,광진구,재건축,자양동 236,운영
11380-100001068,은평구,재개발,수색동 341-6,운영
11470-100001016,양천구,재개발,신정동 1150-41,운영
11650-900000124,서초구,재건축,반포동 1-1,운영
11650-100002018,서초구,재건축,반포동 12,운영
11740-100000048,강동구,재건축,천호동 437-5,운영
11380-100001064,은평구,재개발,수색동 115-5,운영
11380-100001059,은평구,재개발,수색동 189,운영
11650-900000437,서초구,재건축,잠원동 74-,운영
11530-900000067,구로구,재건축,개봉동 68-64,운영
11230-100003010,동대문구,재개발,용두동 753-9,운영
11230-100006043,동대문구,재개발,이문동 257-42,운영
11230-100006045,동대문구,재개발,휘경동 172,운영
11290-100009002,성북구,재개발,삼선동1가 296,운영
11260-100003045,중랑구,재개발,중화동 331-64,운영
11740-900000035,강동구,도시환경정비,천호동 423-200,운영
11410-900000107,서대문구,도시환경정비,남가좌동 289-54,운영
11290-100011002,성북구,재개발,동선동4가 304-2,운영
11350-100002018,노원구,재개발,상계동 95-3,운영
11500-100002013,강서구,재건축,염창동 275-5,운영
11200-100001002,성동구,재개발,금호동4가 480,운영
11620-100003012,관악구,재건축,신림동 1644-,운영
11650-100002007,서초구,재건축,방배동 946-8,운영
11680-100002011,강남구,재건축,삼성동 79,운영
11680-100002026,강남구,재건축,청담동 134-18,운영
11410-100003003,서대문구,재개발,홍은동 11-111,운영
11260-100002011,중랑구,재건축,면목동 55-14,운영
11500-100002003,강서구,재건축,등촌동 366-24,운영
11500-100002000,강서구,재건축,등촌동 656-35,운영
11590-100002008,동작구,재개발,흑석동 158,운영
11710-100002001,송파구,재건축,신천동 17-6,운영
11350-100002005,노원구,재건축,월계동 487-17,운영
11710-100002003,송파구,재건축,신천동 20-4,운영
11380-100000035,은평구,재건축,역촌동 189-,운영
11200-100001001,성동구,재개발,행당동 128,운영
11740-100000049,강동구,재건축,둔촌동 172,운영
11470-900000059,양천구,재건축,신월동 489-3,운영
11680-100003003,강남구,재건축,개포동 660-4,운영
11410-100006001,서대문구,재개발,연희동 533,운영
11500-900000351,강서구,재건축,방화동 278-7,운영
11200-100002000,성동구,재개발,용답동 108-1,운영
11380-100001035,은평구,재개발,응암동 8,운영
11290-100016010,성북구,재개발,장위동 68-37,운영
11305-900000027,강북구,재개발,미아동 791-364,운영
11440-100001010,마포구,재건축,공덕동 105-84,운영
11230-100006042,동대문구,재개발,이문동 149-8,운영
11680-100003002,강남구,재건축,대치동 963,운영
11740-100001049,강동구,재건축,길동 160,운영
11290-100014002,성북구,재개발,길음동 542-1,운영
11290-100016009,성북구,재개발,장위동 289,운영
11650-900000572,서초구,재건축,방배동 975-35,운영
11650-100002002,서초구,재건축,방배동 818-14,운영
11680-100002009,강남구,재건축,개포동 189,운영
11530-900000129,구로구,재건축,개봉동 312-38,운영
11710-900000431,송파구,재건축,문정동 136-,운영
11650-900000434,서초구,재건축,서초동 1334-,운영
11650-900000606,서초구,재건축,방배동 541-2,운영
11740-900000643,강동구,재건축,둔촌동 85-2,운영
11740-900000149,강동구,도시환경정비,천호동 410-100,운영
11410-100007005,서대문구,재건축,홍제동 104-41,운영
11650-900000161,서초구,재건축,반포동 812-,운영
11305-900000527,강북구,재건축,미아동 3-111,운영
11680-900000542,강남구,재건축,대치동 964-,운영
11650-900000599,서초구,재건축,잠원동 60-3,운영
11650-900000553,서초구,재건축,잠원동 52-2,운영
11440-100003003,마포구,도시환경정비,아현동 613-10,운영
11110-100002000,종로구,재개발,신영동 158-2,운영
11140-100002005,중구,재개발,신당동 321-1,운영
11290-100003001,성북구,재개발,성북동 3-38,일시중단
11290-100007003,성북구,재개발,보문동1가 196-11,운영
11170-900000100,용산구,재개발,한남동 686,운영
11740-100001056,강동구,재건축,성내동 209,일시중단
11305-900000738,강북구,재건축,수유동 95,운영
11230-100003014,동대문구,재개발,청량리동 199,운영
11590-100002005,동작구,재개발,흑석동 90,운영
11410-100005002,서대문구,재개발,영천동 69-20,운영
11410-100008007,서대문구,재개발,북아현동 3-66,운영
11410-100008003,서대문구,재개발,북아현동 520,운영
11200-100002007,성동구,재개발,금호동2가 501-31,운영
11620-100004000,관악구,재개발,신림동 316-55,운영
11560-100004035,영등포구,도시환경정비,양평동2가 33-20,일시중단
11380-100001045,은평구,재개발,대조동 88,운영
11650-900000071,서초구,재건축,반포동 1053,운영
11380-900000018,은평구,재건축,신사동 170-12,운영
11530-900000069,구로구,재건축,온수동 45-32,운영
11545-900000126,금천구,재개발,가산동 1-,운영
11380-900000142,은평구,재개발,증산동 157-34,운영
11380-100001065,은평구,재개발,수색동 16-2,운영
11590-100005006,동작구,재개발,노량진동 227-5,운영
11290-100008001,성북구,재건축,석관동 341-16,일시중단
11380-100001052,은평구,재개발,갈현동 300,운영
11470-100001012,양천구,재개발,신월동 606,운영
11560-100004034,영등포구,도시환경정비,양평동1가 243-1,운영
11590-100010000,동작구,재개발,대방동 13-31,운영
11650-900000631,서초구,재건축,잠원동 59-10,운영
11500-900000635,강서구,재건축,화곡동 1027-50,운영
