자치구,인구밀도
양천구,4
동대문구,4
동작구,4
중랑구,3
구로구,3
광진구,3
송파구,2
금천구,2
성동구,2
서대문구,2
성북구,2
관악구,2
강동구,2
도봉구,2
영등포구,2
은평구,2
마포구,2
노원구,2
강서구,1
강남구,1
강북구,1
중구,1
용산구,1
서초구,0
종로구,0
